Demographic,2015,2060,percentage_change,yearly_rate
Whites,61.8,42.6,-19.199999999999996,-0.4266666666666666
Black,13.2,14.7,1.5,0.03333333333333333
Others,7.9,14.6,6.699999999999999,0.14888888888888888
Hispanics,17.8,30.6,12.8,0.28444444444444444
