County,Census,Estimates Base,2010,2011,2012,2013,State,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062
Crenshaw,13906,13906,13867,13915,13981,14000.699999999997,Alabama,14057.699999999997,14104.409999999989,14151.119999999995,14197.829999999987,14244.539999999994,14291.249999999985,14337.959999999992,14384.669999999998,14431.37999999999,14478.089999999997,14524.799999999988,14571.509999999995,14618.219999999987,14664.929999999993,14711.64,14758.349999999991,14805.059999999998,14851.76999999999,14898.479999999996,14945.189999999988,14991.899999999994,15038.61,15085.319999999992,15132.029999999999,15178.73999999999,15225.449999999997,15272.159999999989,15318.869999999995,15365.580000000002,15412.289999999994,15459.0,15505.709999999992,15552.419999999998,15599.12999999999,15645.839999999997,15692.550000000003,15739.259999999995,15785.970000000001,15832.679999999993,15879.39,15926.099999999991,15972.809999999998,16019.520000000004,16066.229999999996,16112.940000000002,16159.649999999994,16206.36,16253.069999999992,16299.779999999999
Cullman,80406,80408,80449,80477,80409,80689.19999999998,Alabama,80669.19999999997,80734.45999999998,80799.71999999999,80864.98,80930.23999999998,80995.49999999999,81060.76,81126.02,81191.28000000001,81256.54000000002,81321.8,81387.06000000001,81452.32000000002,81517.58000000003,81582.84000000004,81648.10000000002,81713.36000000003,81778.62000000004,81843.88000000005,81909.14000000006,81974.40000000007,82039.66000000005,82104.92000000006,82170.18000000007,82235.44000000008,82300.70000000008,82365.96000000006,82431.22000000007,82496.48000000008,82561.74000000009,82627.0000000001,82692.26000000011,82757.52000000009,82822.7800000001,82888.04000000011,82953.30000000012,83018.56000000013,83083.82000000011,83149.08000000012,83214.34000000013,83279.60000000014,83344.86000000015,83410.12000000016,83475.38000000014,83540.64000000014,83605.90000000015,83671.16000000016,83736.42000000017,83801.68000000015
Dale,50251,50251,50341,50085,50348,49998.29999999999,Alabama,50001.79999999999,49925.28999999998,49848.77999999997,49772.26999999996,49695.75999999995,49619.24999999994,49542.73999999993,49466.22999999992,49389.719999999885,49313.209999999875,49236.699999999866,49160.18999999986,49083.67999999985,49007.16999999984,48930.65999999983,48854.14999999982,48777.63999999981,48701.1299999998,48624.61999999979,48548.10999999975,48471.599999999744,48395.089999999735,48318.579999999725,48242.069999999716,48165.55999999971,48089.0499999997,48012.53999999969,47936.02999999968,47859.51999999967,47783.00999999963,47706.49999999962,47629.98999999961,47553.4799999996,47476.969999999594,47400.459999999584,47323.949999999575,47247.439999999566,47170.92999999956,47094.41999999955,47017.90999999954,46941.3999999995,46864.88999999949,46788.37999999948,46711.86999999947,46635.35999999946,46558.84999999945,46482.33999999944,46405.829999999434,46329.319999999425
Dallas,43820,43820,43840,43167,42692,42022.69999999995,Alabama,41448.700000000186,40856.01000000001,40263.320000000065,39670.63000000012,39077.939999999944,38485.25,37892.55999999982,37299.86999999988,36707.1799999997,36114.48999999976,35521.799999999814,34929.10999999964,34336.41999999969,33743.729999999516,33151.03999999957,32558.349999999627,31965.65999999945,31372.969999999506,30780.27999999933,30187.589999999385,29594.89999999944,29002.209999999264,28409.51999999932,27816.829999999143,27224.1399999992,26631.449999999255,26038.759999999078,25446.069999999134,24853.379999998957,24260.689999999013,23667.99999999907,23075.30999999889,22482.619999998948,21889.92999999877,21297.239999998827,20704.549999998882,20111.859999998705,19519.16999999876,18926.479999998584,18333.78999999864,17741.099999998696,17148.40999999852,16555.719999998575,15963.029999998398,15370.339999998454,14777.64999999851,14184.959999998333,13592.269999998389,12999.579999998212
DeKalb,71109,71115,71106,71422,70977,71020.90000000005,Alabama,70956.40000000008,70886.37000000011,70816.34000000011,70746.31000000014,70676.28000000017,70606.25000000017,70536.2200000002,70466.1900000002,70396.16000000024,70326.13000000027,70256.10000000027,70186.0700000003,70116.0400000003,70046.01000000033,69975.98000000036,69905.95000000036,69835.92000000039,69765.89000000042,69695.86000000042,69625.83000000045,69555.80000000045,69485.77000000048,69415.74000000051,69345.71000000052,69275.68000000055,69205.65000000055,69135.62000000058,69065.59000000061,68995.56000000061,68925.53000000064,68855.50000000067,68785.47000000067,68715.4400000007,68645.4100000007,68575.38000000073,68505.35000000076,68435.32000000076,68365.2900000008,68295.2600000008,68225.23000000083,68155.20000000086,68085.17000000086,68015.14000000089,67945.11000000092,67875.08000000092,67805.05000000095,67735.02000000095,67664.99000000098,67594.96000000101
Elmore,79303,79296,79512,80010,80417,80896.79999999993,Alabama,81349.29999999981,81805.43999999971,82261.57999999973,82717.71999999974,83173.85999999975,83629.99999999977,84086.13999999966,84542.27999999968,84998.41999999969,85454.5599999997,85910.6999999996,86366.83999999962,86822.97999999963,87279.11999999965,87735.25999999966,88191.39999999956,88647.53999999957,89103.67999999959,89559.8199999996,90015.9599999995,90472.09999999951,90928.23999999953,91384.37999999954,91840.51999999944,92296.65999999945,92752.79999999946,93208.93999999948,93665.07999999949,94121.21999999939,94577.3599999994,95033.49999999942,95489.63999999943,95945.77999999933,96401.91999999934,96858.05999999936,97314.19999999937,97770.33999999939,98226.47999999928,98682.6199999993,99138.75999999931,99594.89999999932,100051.03999999922,100507.17999999924,100963.31999999925,101419.45999999926,101875.59999999928,102331.73999999918,102787.87999999919,103244.0199999992
Escambia,38319,38319,38314,38230,38070,37976.30000000002,Alabama,37854.30000000002,37736.99000000002,37619.68000000002,37502.370000000024,37385.06000000003,37267.75000000003,37150.44,37033.130000000005,36915.82000000001,36798.51000000001,36681.20000000001,36563.890000000014,36446.580000000016,36329.27000000002,36211.95999999999,36094.649999999994,35977.34,35860.03,35742.72,35625.41,35508.100000000006,35390.79000000001,35273.47999999998,35156.169999999984,35038.859999999986,34921.54999999999,34804.23999999999,34686.92999999999,34569.619999999995,34452.31,34334.99999999997,34217.68999999997,34100.379999999976,33983.06999999998,33865.75999999998,33748.44999999998,33631.139999999985,33513.82999999999,33396.51999999999,33279.20999999996,33161.899999999965,33044.58999999997,32927.27999999997,32809.96999999997,32692.659999999974,32575.349999999977,32458.03999999998,32340.729999999952,32223.419999999955
Etowah,104430,104427,104498,104323,104311,104008.79999999999,Alabama,103915.29999999999,103767.33999999997,103619.38,103471.41999999998,103323.45999999996,103175.49999999994,103027.53999999992,102879.5799999999,102731.61999999988,102583.65999999986,102435.6999999999,102287.73999999987,102139.77999999985,101991.81999999983,101843.85999999981,101695.89999999979,101547.93999999977,101399.9799999998,101252.01999999979,101104.05999999976,100956.09999999974,100808.13999999972,100660.1799999997,100512.21999999968,100364.25999999972,100216.2999999997,100068.33999999968,99920.37999999966,99772.41999999963,99624.45999999961,99476.49999999959,99328.53999999963,99180.57999999961,99032.61999999959,98884.65999999957,98736.69999999955,98588.73999999953,98440.7799999995,98292.81999999954,98144.85999999952,97996.8999999995,97848.93999999948,97700.97999999946,97553.01999999944,97405.05999999942,97257.09999999945,97109.13999999943,96961.17999999941,96813.21999999939
Fayette,17241,17241,17250,17074,17005,16895.70000000001,Alabama,16773.20000000004,16660.01000000004,16546.820000000036,16433.630000000034,16320.440000000031,16207.25000000003,16094.060000000027,15980.870000000024,15867.680000000022,15754.49000000002,15641.300000000017,15528.110000000015,15414.920000000013,15301.73000000001,15188.540000000037,15075.350000000035,14962.160000000033,14848.97000000003,14735.780000000028,14622.590000000026,14509.400000000023,14396.210000000021,14283.020000000019,14169.830000000016,14056.640000000014,13943.450000000012,13830.26000000001,13717.070000000007,13603.880000000034,13490.690000000031,13377.50000000003,13264.310000000027,13151.120000000024,13037.930000000022,12924.74000000002,12811.550000000017,12698.360000000015,12585.170000000013,12471.98000000001,12358.790000000008,12245.600000000006,12132.410000000033,12019.22000000003,11906.030000000028,11792.840000000026,11679.650000000023,11566.460000000021,11453.270000000019,11340.080000000016
Franklin,31704,31709,31757,31765,31685,31571.50000000003,Alabama,31535.50000000003,31471.850000000035,31408.20000000004,31344.550000000047,31280.900000000052,31217.25000000006,31153.600000000064,31089.95000000007,31026.300000000076,30962.65000000008,30899.000000000087,30835.350000000108,30771.700000000114,30708.05000000012,30644.400000000125,30580.75000000013,30517.100000000137,30453.450000000143,30389.80000000015,30326.150000000154,30262.50000000016,30198.850000000166,30135.20000000017,30071.550000000178,30007.900000000183,29944.25000000019,29880.600000000195,29816.9500000002,29753.300000000207,29689.650000000212,29626.00000000022,29562.350000000224,29498.70000000023,29435.050000000236,29371.40000000024,29307.750000000247,29244.100000000253,29180.45000000026,29116.800000000265,29053.15000000027,28989.500000000276,28925.850000000282,28862.200000000288,28798.550000000294,28734.9000000003,28671.250000000306,28607.600000000326,28543.95000000033,28480.300000000338
Geneva,26790,26790,26793,26815,26969,26819.4,Alabama,26907.39999999999,26930.71999999999,26954.03999999999,26977.35999999999,27000.67999999999,27023.99999999999,27047.31999999998,27070.63999999998,27093.95999999998,27117.27999999998,27140.59999999998,27163.91999999998,27187.23999999998,27210.55999999998,27233.87999999998,27257.19999999998,27280.51999999998,27303.83999999997,27327.15999999997,27350.47999999997,27373.79999999997,27397.11999999997,27420.43999999997,27443.75999999997,27467.07999999997,27490.39999999997,27513.71999999997,27537.039999999968,27560.359999999968,27583.67999999996,27606.99999999996,27630.31999999996,27653.63999999996,27676.95999999996,27700.27999999996,27723.59999999996,27746.91999999996,27770.239999999958,27793.559999999958,27816.879999999957,27840.19999999995,27863.51999999995,27886.83999999995,27910.15999999995,27933.47999999995,27956.79999999995,27980.119999999948,28003.439999999948,28026.759999999947
